

















"Canis latrans","Spermophilus beecheyi"
"Canis latrans","Taricha torosa"
"Canis latrans","Thamnophis atratus"
"Canis latrans","Thomomys bottae"
"Canis lupus","Amblysomus hottentotus"
"Canis lupus dingo","Boiga irregularis"
"Canis lupus dingo","Chlamydosaurus kingii"
"Canis lupus dingo","Demansia atra"
"Canis lupus dingo","Demansia torquata"
"Canis lupus dingo","Dendrelaphis punctulatus"
"Canis lupus dingo","Furina ornata"
"Canis lupus dingo","Isoodon macrourus"
"Canis lupus dingo","Macropus agilis"
"Canis lupus dingo","Tachyglossus aculeatus"
"Canis lupus dingo","Trichosurus vulpecula"
"Canis lupus dingo","Tropidonophis mairii"
"Canis lupus dingo","Varanus gouldii"
"Canis lupus italicus","Cervus elaphus"
"Canis lupus","Nestor meridionalis"
"Canis mesomelas","Madoqua kirkii"




























"Caracal caracal","Madoqua kirkii"
"Caracal caracal","Pedetes capensis"
"Caracal caracal","Procavia capensis"
"Caracal caracal","Rhabdomys pumilio"
























































































































































































































"Connochaetes taurinus","Andropogon"
"Connochaetes taurinus","Aristida"
"Connochaetes taurinus","Bothriochloa"
"Connochaetes taurinus","Brachiaria"
"Connochaetes taurinus","Chloris gayana"
"Connochaetes taurinus","Cynodon dactylon"
"Connochaetes taurinus","Digitaria"
"Connochaetes taurinus","Dinebra retroflexa"
"Connochaetes taurinus","Eragrostis"
"Connochaetes taurinus","Eragrostis cilianensis"
"Connochaetes taurinus","Eustachys paspaloides"
"Connochaetes taurinus","Harpachne schimperi"
"Connochaetes taurinus","Hyparrhenia"
"Connochaetes taurinus","Hyparrhenia rufa"
"Connochaetes taurinus","Indigofera"
"Connochaetes taurinus","Microchloa kunthii"
"Connochaetes taurinus","Panicum coloratum"
"Connochaetes taurinus","Panicum maximum"
"Connochaetes taurinus","Pennisetum mezianum"
"Connochaetes taurinus","Sida"
"Connochaetes taurinus","Solanum incanum"
"Connochaetes taurinus","Sporobolus"
"Connochaetes taurinus","Sporobolus pyramidalis"
"Connochaetes taurinus","Themeda triandra"











































































































































































































"Crocuta crocuta","Aepyceros melampus"
"Crocuta crocuta","Alcelaphus buselaphus"
"Crocuta crocuta","Connochaetes taurinus"
"Crocuta crocuta","Damaliscus korrigum"
"Crocuta crocuta","Equus"
"Crocuta crocuta","Gazella granti"
"Crocuta crocuta","Gazella thomsonii"
"Crocuta crocuta","Kobus ellipsiprymnus"
"Crocuta crocuta","Madoqua kirkii"
"Crocuta crocuta","Ourebia ourebi"
"Crocuta crocuta","Phacochoerus africanus"
"Crocuta crocuta","Phoenicopteriformes"
"Crocuta crocuta","Redunca redunca"






















































































































"Cynictis penicillata","Pseudaspis cana"
"Cynictis penicillata","Xerus"








"Cystophora cristata","Gonatus fabricii"
"Cystophora cristata","Themisto libellula"
















































"Dasyurus maculatus","Boiga irregularis"
"Dasyurus maculatus","Burhinus grallarius"
"Dasyurus maculatus","Furina ornata"
"Dasyurus maculatus","Tropidonophis mairii"



























































































"Dipodomys spectabilis","Crotalus cerastes"

























































































"Enhydra lutris","Bivalvia"
"Enhydra lutris","Brachyura"
"Enhydra lutris","Cancridae"
"Enhydra lutris","Doryteuthis opalescens"
"Enhydra lutris","Enteroctopus dofleini"
"Enhydra lutris kenyoni","Octopus"
"Enhydra lutris","Nassarius fossatus"
"Enhydra lutris nereis","Bivalvia"
"Enhydra lutris nereis","Cancer productus"
"Enhydra lutris nereis","Loxorhynchus grandis"
"Enhydra lutris nereis","Metacarcinus"
"Enhydra lutris nereis","Metacarcinus magister"
"Enhydra lutris nereis","Mytilus"
"Enhydra lutris nereis","Mytilus californianus"
"Enhydra lutris nereis","Romaleon antennarium"
"Enhydra lutris nereis","Saxidomus"
"Enhydra lutris nereis","Tresus nuttallii"
"Enhydra lutris","Protothaca staminea"
"Enhydra lutris","Saxidomus"
"Enhydra lutris","Tivela stultorum"
"Enhydra lutris","Tresus nuttallii"



































"Erignathus barbatus","Bathypolypus arcticus"
"Erignathus barbatus","Neomysis rayii"
"Erignathus barbatus","Serripes groenlandicus"


"Erinaceus europaeus","Insecta"
"Erinaceus europaeus","Prionoplus reticularis"








"Gazella thomsonii","Andropogon"
"Gazella thomsonii","Aristida"
"Gazella thomsonii","Balanites aegyptiacus"
"Gazella thomsonii","Bothriochloa"
"Gazella thomsonii","Brachiaria"
"Gazella thomsonii","Cynodon dactylon"
"Gazella thomsonii","Digitaria"
"Gazella thomsonii","Dinebra retroflexa"
"Gazella thomsonii","Eragrostis"
"Gazella thomsonii","Eragrostis cilianensis"
"Gazella thomsonii","Eustachys paspaloides"
"Gazella thomsonii","Harpachne schimperi"
"Gazella thomsonii","Heteropogon contortus"
"Gazella thomsonii","Hyparrhenia rufa"
"Gazella thomsonii","Indigofera"
"Gazella thomsonii","Microchloa kunthii"
"Gazella thomsonii","Panicum coloratum"
"Gazella thomsonii","Pennisetum mezianum"
"Gazella thomsonii","Sida"
"Gazella thomsonii","Solanum incanum"
"Gazella thomsonii","Sporobolus"
"Gazella thomsonii","Themeda triandra"












"Eumetopias jubatus","Alosa sapidissima"
"Eumetopias jubatus","Ammodytes hexapterus"
"Eumetopias jubatus","Anoplopoma fimbria"
"Eumetopias jubatus","Chilara taylori"
"Eumetopias jubatus","Citharichthys"
"Eumetopias jubatus","Clupea pallasii"
"Eumetopias jubatus","Clupeidae"
"Eumetopias jubatus","Cottidae"
"Eumetopias jubatus","Embiotocidae"
"Eumetopias jubatus","Engraulis mordax"
"Eumetopias jubatus","Enophrys bison"
"Eumetopias jubatus","Gadidae"
"Eumetopias jubatus","Gadus chalcogrammus"
"Eumetopias jubatus","Gadus macrocephalus"
"Eumetopias jubatus","Glyptocephalus zachirus"
"Eumetopias jubatus","Hemilepidotus"
"Eumetopias jubatus","Hexagrammidae"
"Eumetopias jubatus","Hexagrammos"
"Eumetopias jubatus","Hippoglossus stenolepis"
"Eumetopias jubatus","Hypomesus pretiosus"
"Eumetopias jubatus","Isopsetta isolepis"
"Eumetopias jubatus","Lepidopsetta bilineata"
"Eumetopias jubatus","Leptocottus armatus"
"Eumetopias jubatus","Lyopsetta exilis"
"Eumetopias jubatus","Merluccius productus"
"Eumetopias jubatus","Microgadus proximus"
"Eumetopias jubatus","Microstomus pacificus"
"Eumetopias jubatus","Notorynchus cepedianus"
"Eumetopias jubatus","Oncorhynchus"
"Eumetopias jubatus","Ophiodon elongatus"
"Eumetopias jubatus","Osmeridae"
"Eumetopias jubatus","Parophrys vetulus"
"Eumetopias jubatus","Platichthys stellatus"
"Eumetopias jubatus","Pleuronectidae"
"Eumetopias jubatus","Pleuronectiformes"
"Eumetopias jubatus","Pleuronichthys"
"Eumetopias jubatus","Porichthys notatus"
"Eumetopias jubatus","Psettichthys melanostictus"
"Eumetopias jubatus","Reinhardtius stomias"
"Eumetopias jubatus","Salmonidae"
"Eumetopias jubatus","Sardinops sagax"
"Eumetopias jubatus","Scomber japonicus"
"Eumetopias jubatus","Sebastes"
"Eumetopias jubatus","Sebastes diploproa"
"Eumetopias jubatus","Sebastes jordani"
"Eumetopias jubatus","Thaleichthys pacificus"
"Eumetopias jubatus","Trachurus symmetricus"
"Eumetopias jubatus","Zalophus californianus"
































"Felis nigripes","Eupodotis caerulescens"































































































































































"Giraffa camelopardalis","Acacia robusta"
"Giraffa camelopardalis","Acacia senegal"
"Giraffa camelopardalis","Acacia seyal"
"Giraffa camelopardalis","Acacia tortilis"
"Giraffa camelopardalis","Balanites aegyptiacus"
"Giraffa camelopardalis","Commiphora schimperi"
"Giraffa camelopardalis","Cordia ovalis"
"Giraffa camelopardalis","Croton macrostachyus"
"Giraffa camelopardalis","Grewia"
"Giraffa camelopardalis","Grewia bicolor"
"Giraffa camelopardalis","Grewia trichocarpa"
"Giraffa camelopardalis","Hibiscus"
"Giraffa camelopardalis","Indigofera"
"Giraffa camelopardalis","Maerua triphylla"
"Giraffa camelopardalis","Olea"
"Giraffa camelopardalis","Pavetta gardeniifolia gardeniifolia"
"Giraffa camelopardalis","Phyllanthus sepialis"
"Giraffa camelopardalis","Sida"
"Giraffa camelopardalis","Solanum incanum"


































































"Halichoerus grypus","Carcinus maenas"
"Halichoerus grypus","Eledone cirrhosa"
"Halichoerus grypus","Illex illecebrosus"
"Halichoerus grypus","Mytilus edulis"
















































"Herpestes sanguineus","Acontias plumbeus"







"Heterohyrax brucei","Abutilon"
"Heterohyrax brucei","Acacia robusta"
"Heterohyrax brucei","Acacia tortilis"
"Heterohyrax brucei","Acalypha"
"Heterohyrax brucei","Albizia harveyi"
"Heterohyrax brucei","Albuca"
"Heterohyrax brucei","Allophylus"
"Heterohyrax brucei","Aloe"
"Heterohyrax brucei","Aristida"
