Species,ED,SE_ED
Thylogale_brunii,1.3904311831861496,0.08205073009970029
Thylogale_calabyi,1.3893772862994194,0.08220925555641038
Thylogale_browni,2.099613434145737,0.12001835631502955
Thylogale_thetis,5.407474033951187,0.1829837815313321
Thylogale_christenseni,2.5656158390794754,0.1813225247091807
Thylogale_billardierii,6.785315018044281,0.2111480275289829
Dendrolagus_goodfellowi,1.6792363918480635,0.1030437522710403
Dendrolagus_pulcherrimus,1.6681424648630738,0.09747494900805322
Dendrolagus_mbaiso,1.971034410294056,0.11904191864733253
Dendrolagus_matschiei,2.569446969393301,0.13086803277784953
Dendrolagus_spadix,3.390724615908337,0.17208943246788616
Dendrolagus_inustus,5.1599447014980315,0.18307679075784983
Dendrolagus_lumholtzi,3.1238360041083335,0.13046495982305534
