Scenario,Edge,Mean,SE,CI_low,CI_high,Estimate,From,To,Area
CU,Large carnivores → Megacarnivores,-1.2977832426645521,0.47097454573499586,0.10851396659150128,0.687502305915004,0.27313659999282563,Mesocarnivore,Megacarnivore,Random area
RW,Large carnivores → Megacarnivores,0.4025528966807008,0.46283146694411464,0.6037590349290035,3.7050097962365616,1.4956380374202478,Mesocarnivore,Megacarnivore,Random area
PN,Large herbivores → Megacarnivores,1.6028470571418736,0.4613844351810092,2.0108352462617116,12.269836495991957,4.967154083779656,Mesoherbivore,Megacarnivore,Random area
CU,Large herbivores → Megacarnivores,-1.072035865714329,0.46923109996037377,0.13646161372164972,0.8586792643093665,0.3423109084983637,Mesoherbivore,Megacarnivore,Random area
RW,Large herbivores → Megacarnivores,0.5258062592847441,0.46258735972497517,0.6832815318229363,4.188994898154122,1.6918223461135666,Mesoherbivore,Megacarnivore,Random area
PN,Large herbivores → Large carnivores,0.7064359256888544,0.46354091788660334,0.8170233709400263,5.027683946732547,2.026754865833676,Mesoherbivore,Mesocarnivore,Random area
CU,Large herbivores → Large carnivores,-0.6366017909856796,0.4685284366034171,0.21121036482859698,1.325377163313367,0.5290873219033955,Mesoherbivore,Mesocarnivore,Random area
RW,Large herbivores → Large carnivores,0.07988085863336733,0.4652383683169555,0.4351912943229299,2.6958978551071606,1.0831580110614036,Mesoherbivore,Mesocarnivore,Random area
PN,Small carnivores → Megacarnivores,2.443717009092046,0.4609063805518062,4.666256307463687,28.419539387985036,11.515765494503519,Microcarnivore,Megacarnivore,Random area
CU,Small carnivores → Megacarnivores,0.3965582857283337,0.46263395053559286,0.6003829392015027,3.681440687746418,1.4866990887887153,Microcarnivore,Megacarnivore,Random area
RW,Small carnivores → Megacarnivores,1.8131054805812494,0.4611357546770443,2.482574209223896,15.133562383405158,6.129452803205402,Microcarnivore,Megacarnivore,Random area
PN,Small carnivores → Large carnivores,2.622483361801816,0.46063833952287536,5.58256755818516,33.96456981975442,13.769876746125066,Microcarnivore,Mesocarnivore,Random area
CU,Small carnivores → Large carnivores,1.7354264803829258,0.46100009648246804,2.2976408850897485,13.998778367701702,5.671346005926756,Microcarnivore,Mesocarnivore,Random area
RW,Small carnivores → Large carnivores,2.534582801038997,0.46066270476928767,5.112561193419961,31.108002817604465,12.61116838401912,Microcarnivore,Mesocarnivore,Random area
PN,Small herbivores → Megacarnivores,2.841486857814192,0.46073104673703014,6.948116388807919,42.287989771222385,17.141233175567383,Microherbivore,Megacarnivore,Random area
CU,Small herbivores → Megacarnivores,0.8521454045165651,0.4619414064624619,0.9481494749887083,5.798121142655816,2.344671729119034,Microherbivore,Megacarnivore,Random area
RW,Small herbivores → Megacarnivores,2.2509398797749736,0.46087578267586443,3.848332526127112,23.43521522314694,9.496657359304146,Microherbivore,Megacarnivore,Random area
PN,Small herbivores → Large carnivores,3.3610912243586886,0.46048939776373754,11.687835376039656,71.06776505416379,28.820623492494576,Microherbivore,Mesocarnivore,Random area
CU,Small herbivores → Large carnivores,2.7190079933159574,0.4606135320079355,6.148585527202859,37.40460880256125,15.165270730656697,Microherbivore,Mesocarnivore,Random area
RW,Small herbivores → Large carnivores,3.272822795641188,0.46050300896676105,10.700104238047544,65.06534730225819,26.385715802663533,Microherbivore,Mesocarnivore,Random area
PN,Small herbivores → Small carnivores,4.649863678057036,0.4599702968383353,42.450490280733995,257.5950797809024,104.57072932041785,Microherbivore,Microcarnivore,Random area
CU,Small herbivores → Small carnivores,4.506839776897485,0.4600082627384122,36.79051801503912,223.28286140234096,90.63493881981886,Microherbivore,Microcarnivore,Random area
RW,Small herbivores → Small carnivores,4.624362287408544,0.45998629735906016,41.38033265041728,251.1169742935723,101.93774536664182,Microherbivore,Microcarnivore,Random area
