Size,Web,Ecozone,Scenario,Proportion,Area
Megaherbivore,137,NT,PN,9,Protected
Mesocarnivore,137,NT,PN,6,Protected
Mesoherbivore,137,NT,PN,18,Protected
Microcarnivore,137,NT,PN,25,Protected
Microherbivore,137,NT,PN,38,Protected
Megacarnivore,138,NT,PN,3,Protected
Megaherbivore,138,NT,PN,6,Protected
Mesocarnivore,138,NT,PN,4,Protected
Mesoherbivore,138,NT,PN,15,Protected
Microcarnivore,138,NT,PN,22,Protected
Microherbivore,138,NT,PN,35,Protected
Megacarnivore,139,NT,PN,3,Protected
Megaherbivore,139,NT,PN,6,Protected
Mesocarnivore,139,NT,PN,7,Protected
Mesoherbivore,139,NT,PN,13,Protected
Microcarnivore,139,NT,PN,31,Protected
Microherbivore,139,NT,PN,40,Protected
Mesocarnivore,14,AA,PN,1,Protected
Mesoherbivore,14,AA,PN,1,Protected
Microcarnivore,14,AA,PN,16,Protected
Microherbivore,14,AA,PN,13,Protected
Megacarnivore,140,NT,PN,2,Protected
Megaherbivore,140,NT,PN,4,Protected
Mesocarnivore,140,NT,PN,6,Protected
Mesoherbivore,140,NT,PN,10,Protected
Microcarnivore,140,NT,PN,35,Protected
Microherbivore,140,NT,PN,51,Protected
Megacarnivore,141,NT,PN,3,Protected
Megaherbivore,141,NT,PN,4,Protected
Mesocarnivore,141,NT,PN,5,Protected
Mesoherbivore,141,NT,PN,11,Protected
Microcarnivore,141,NT,PN,31,Protected
Microherbivore,141,NT,PN,52,Protected
Megacarnivore,142,NT,PN,3,Protected
Megaherbivore,142,NT,PN,4,Protected
Mesocarnivore,142,NT,PN,6,Protected
Mesoherbivore,142,NT,PN,11,Protected
Microcarnivore,142,NT,PN,30,Protected
Microherbivore,142,NT,PN,43,Protected
Megacarnivore,143,NT,PN,3,Protected
Megaherbivore,143,NT,PN,6,Protected
Mesocarnivore,143,NT,PN,7,Protected
Mesoherbivore,143,NT,PN,13,Protected
Microcarnivore,143,NT,PN,27,Protected
Microherbivore,143,NT,PN,37,Protected
Megacarnivore,144,NT,PN,2,Protected
Megaherbivore,144,NT,PN,4,Protected
Mesocarnivore,144,NT,PN,6,Protected
Mesoherbivore,144,NT,PN,11,Protected
Microcarnivore,144,NT,PN,27,Protected
Microherbivore,144,NT,PN,36,Protected
Megacarnivore,145,NT,PN,2,Protected
Megaherbivore,145,NT,PN,4,Protected
Mesocarnivore,145,NT,PN,5,Protected
Mesoherbivore,145,NT,PN,9,Protected
Microcarnivore,145,NT,PN,26,Protected
Microherbivore,145,NT,PN,30,Protected
Megacarnivore,146,NT,PN,2,Protected
Megaherbivore,146,NT,PN,4,Protected
Mesocarnivore,146,NT,PN,5,Protected
Mesoherbivore,146,NT,PN,8,Protected
Microcarnivore,146,NT,PN,29,Protected
Microherbivore,146,NT,PN,47,Protected
Megacarnivore,147,NT,PN,3,Protected
Megaherbivore,147,NT,PN,3,Protected
Mesocarnivore,147,NT,PN,4,Protected
Mesoherbivore,147,NT,PN,9,Protected
Microcarnivore,147,NT,PN,31,Protected
Microherbivore,147,NT,PN,51,Protected
Megacarnivore,148,NT,PN,3,Protected
Megaherbivore,148,NT,PN,4,Protected
Mesocarnivore,148,NT,PN,6,Protected
Mesoherbivore,148,NT,PN,14,Protected
Microcarnivore,148,NT,PN,37,Protected
Microherbivore,148,NT,PN,69,Protected
Megacarnivore,149,NT,PN,1,Protected
Megaherbivore,149,NT,PN,3,Protected
Mesocarnivore,149,NT,PN,5,Protected
Mesoherbivore,149,NT,PN,10,Protected
Microcarnivore,149,NT,PN,26,Protected
Microherbivore,149,NT,PN,27,Protected
Mesocarnivore,15,AA,PN,1,Protected
Microcarnivore,15,AA,PN,9,Protected
Microherbivore,15,AA,PN,26,Protected
Megacarnivore,150,NT,PN,2,Protected
Megaherbivore,150,NT,PN,4,Protected
Mesocarnivore,150,NT,PN,5,Protected
Mesoherbivore,150,NT,PN,8,Protected
Microcarnivore,150,NT,PN,29,Protected
Microherbivore,150,NT,PN,45,Protected
Megacarnivore,151,NT,PN,2,Protected
Megaherbivore,151,NT,PN,4,Protected
Mesocarnivore,151,NT,PN,6,Protected
Mesoherbivore,151,NT,PN,11,Protected
Microcarnivore,151,NT,PN,31,Protected
Microherbivore,151,NT,PN,47,Protected
Megacarnivore,152,NT,PN,4,Protected
Megaherbivore,152,NT,PN,14,Protected
Mesocarnivore,152,NT,PN,8,Protected
Mesoherbivore,152,NT,PN,19,Protected
Microcarnivore,152,NT,PN,19,Protected
Microherbivore,152,NT,PN,44,Protected
Megacarnivore,153,NT,PN,2,Protected
Megaherbivore,153,NT,PN,4,Protected
Mesocarnivore,153,NT,PN,5,Protected
Mesoherbivore,153,NT,PN,7,Protected
Microcarnivore,153,NT,PN,36,Protected
Microherbivore,153,NT,PN,55,Protected
Megacarnivore,154,AT,PN,3,Protected
Megaherbivore,154,AT,PN,4,Protected
Mesocarnivore,154,AT,PN,8,Protected
Mesoherbivore,154,AT,PN,20,Protected
Microcarnivore,154,AT,PN,42,Protected
Microherbivore,154,AT,PN,42,Protected
Megacarnivore,155,IM,PN,1,Protected
Megaherbivore,155,IM,PN,1,Protected
Mesocarnivore,155,IM,PN,4,Protected
Mesoherbivore,155,IM,PN,2,Protected
Microcarnivore,155,IM,PN,38,Protected
Microherbivore,155,IM,PN,55,Protected
Megacarnivore,156,IM,PN,1,Protected
Megaherbivore,156,IM,PN,2,Protected
Mesocarnivore,156,IM,PN,4,Protected
Mesoherbivore,156,IM,PN,2,Protected
Microcarnivore,156,IM,PN,46,Protected
Microherbivore,156,IM,PN,63,Protected
Megacarnivore,157,IM,PN,1,Protected
Megaherbivore,157,IM,PN,3,Protected
Mesocarnivore,157,IM,PN,4,Protected
Mesoherbivore,157,IM,PN,6,Protected
Microcarnivore,157,IM,PN,45,Protected
Microherbivore,157,IM,PN,47,Protected
Megacarnivore,158,IM,PN,1,Protected
Megaherbivore,158,IM,PN,1,Protected
Mesocarnivore,158,IM,PN,4,Protected
Mesoherbivore,158,IM,PN,2,Protected
Microcarnivore,158,IM,PN,30,Protected
Microherbivore,158,IM,PN,41,Protected
Megacarnivore,159,IM,PN,1,Protected
Megaherbivore,159,IM,PN,2,Protected
Mesocarnivore,159,IM,PN,4,Protected
Mesoherbivore,159,IM,PN,6,Protected
Microcarnivore,159,IM,PN,48,Protected
Microherbivore,159,IM,PN,50,Protected
Megacarnivore,160,AT,PN,1,Protected
Megaherbivore,160,AT,PN,2,Protected
Mesocarnivore,160,AT,PN,7,Protected
Mesoherbivore,160,AT,PN,6,Protected
Microcarnivore,160,AT,PN,23,Protected
Microherbivore,160,AT,PN,27,Protected
Mesocarnivore,161,NT,PN,2,Protected
Mesoherbivore,161,NT,PN,2,Protected
Microcarnivore,161,NT,PN,7,Protected
Microherbivore,161,NT,PN,16,Protected
Megaherbivore,162,NT,PN,1,Protected
Mesocarnivore,162,NT,PN,2,Protected
Mesoherbivore,162,NT,PN,3,Protected
